Model ID	Od	Oc	Or	Op	Of
18	0	0.7	1	5.3	0.199014286
17	0	0.7	1	5	0.046052045
15	0	0.7	1	3.8	0.001142059
19	0	0.7	6	8.3	0.026255743
14	0	0.7	6	6	0.059319643
13	0	0.7	6	4.3	0.109101667
12	0	0.7	8	7.3	0.042843353
16	0	0.7	14	4	0.03953
11	0	0.8	3	9.7	0.036014583
10	0	0.8	3	4	0.05
9	0	0.8	4	4	0.0400224
7	0.01	0.8	2	4	0.04
8	0.01	0.8	3	4	0.0400168
6	0.02	0.8	5	4	0.045492424
5	0.02	0.8	17	3	0.04
4	0.03	0.8	3	3.5	0.096709583
3	0.03	0.8	20	5.5	0.030914242
1	0.04	0.8	2	8.5	0.050193333
2	0.04	0.8	2	7.5	0.041173474
